arm,model,subject,mode,f1,crit_err
B,SVM,37,smoothed,0.8584295012788095,0.18072289156626506
B,SVM,38,unsmoothed,0.8094946361484384,0.011627906976744186
B,SVM,38,smoothed,0.9504637575218239,0.0
B,SVM,39,unsmoothed,0.7799723166009198,0.10227272727272728
B,SVM,39,smoothed,0.9033659251668731,0.045454545454545456
B,SVM,40,unsmoothed,0.759539769773204,0.05
B,SVM,40,smoothed,0.9377597586070284,0.0
B,RF,1,unsmoothed,0.5811619506347635,0.016666666666666666
B,RF,1,smoothed,0.5718233342921866,0.0
B,RF,2,unsmoothed,0.8398001919075859,0.03896103896103896
B,RF,2,smoothed,0.9178217821782179,0.0
B,RF,3,unsmoothed,0.7847380046009158,0.10619469026548672
B,RF,3,smoothed,0.8866149630478855,0.008849557522123894
B,RF,4,unsmoothed,0.7768333937416938,0.012658227848101266
B,RF,4,smoothed,0.9090149748978327,0.0
B,RF,5,unsmoothed,0.6634413866791491,0.11688311688311688
B,RF,5,smoothed,0.7612982705327737,0.05844155844155844
B,RF,6,unsmoothed,0.7086708146104935,0.11702127659574468
B,RF,6,smoothed,0.8428037051525563,0.0425531914893617
B,RF,7,unsmoothed,0.7567286571653427,0.0761904761904762
B,RF,7,smoothed,0.8982638738073521,0.0
B,RF,8,unsmoothed,0.7645677765647959,0.046511627906976744
B,RF,8,smoothed,0.8824091492809022,0.0
B,RF,9,unsmoothed,0.7659487112883011,0.104
B,RF,9,smoothed,0.898491987416849,0.008
B,RF,10,unsmoothed,0.7413836322343408,0.0
B,RF,10,smoothed,0.8655754792569292,0.0
B,RF,11,unsmoothed,0.8645187839763311,0.0
B,RF,11,smoothed,0.9892902396656601,0.0
B,RF,12,unsmoothed,0.8098093713681052,0.025974025974025976
B,RF,12,smoothed,0.959557438794727,0.0
B,RF,13,unsmoothed,0.8986749110222637,0.09009009009009009
B,RF,13,smoothed,0.9954545454545455,0.0
B,RF,14,unsmoothed,0.7559812511665444,0.08270676691729323
B,RF,14,smoothed,0.9142150923119758,0.0
B,RF,15,unsmoothed,0.8037570693142913,0.04819277108433735
B,RF,15,smoothed,0.973883036436832,0.0
B,RF,16,unsmoothed,0.8392475962512849,0.12087912087912088
B,RF,16,smoothed,0.9577186580935233,0.02197802197802198
B,RF,17,unsmoothed,0.7855256757695783,0.0380952380952381
B,RF,17,smoothed,0.9442160862212994,0.009523809523809525
B,RF,18,unsmoothed,0.7563340077786461,0.20930232558139536
B,RF,18,smoothed,0.9296047958140582,0.06976744186046512
B,RF,19,unsmoothed,0.7796384654607116,0.11214953271028037
B,RF,19,smoothed,0.9516030486450351,0.0
B,RF,20,unsmoothed,0.7022534527180035,0.0
B,RF,20,smoothed,0.8294408371426238,0.0
B,RF,21,unsmoothed,0.7946421990036682,0.0
B,RF,21,smoothed,0.9248591130120788,0.0
B,RF,22,unsmoothed,0.7286889859485141,0.07936507936507936
B,RF,22,smoothed,0.8775043466277653,0.007936507936507936
B,RF,23,unsmoothed,0.7489269625162428,0.0763888888888889
B,RF,23,smoothed,0.842838349461484,0.027777777777777776
B,RF,24,unsmoothed,0.766872982437715,0.1282051282051282
B,RF,24,smoothed,0.9229846926038461,0.038461538461538464
B,RF,25,unsmoothed,0.7810229264409978,0.13953488372093023
B,RF,25,smoothed,0.9371397768886596,0.03488372093023256
B,RF,26,unsmoothed,0.7015416757172519,0.3237410071942446
B,RF,26,smoothed,0.8246354237984389,0.18705035971223022
B,RF,27,unsmoothed,0.8367483130300608,0.043010752688172046
B,RF,27,smoothed,0.9249958891573845,0.0
B,RF,28,unsmoothed,0.7739053205958613,0.08928571428571429
B,RF,28,smoothed,0.9103348565941711,0.026785714285714284
B,RF,29,unsmoothed,0.7561813219896076,0.12264150943396226
B,RF,29,smoothed,0.8960773079249216,0.02830188679245283
B,RF,30,unsmoothed,0.8303439495505791,0.10989010989010989
B,RF,30,smoothed,0.969362917335617,0.01098901098901099
B,RF,31,unsmoothed,0.7055720389606677,0.09574468085106383
B,RF,31,smoothed,0.8772936054466953,0.02127659574468085
B,RF,32,unsmoothed,0.7574960441361093,0.16964285714285715
B,RF,32,smoothed,0.9259695225830684,0.03571428571428571
B,RF,33,unsmoothed,0.8558265284016201,0.021052631578947368
B,RF,33,smoothed,0.9869902782241576,0.0
B,RF,34,unsmoothed,0.8412775012362366,0.054945054945054944
B,RF,34,smoothed,0.9475838213044131,0.02197802197802198
B,RF,35,unsmoothed,0.712534492692629,0.17801047120418848
B,RF,35,smoothed,0.7967177994883932,0.13612565445026178
B,RF,36,unsmoothed,0.7473747189385338,0.10638297872340426
B,RF,36,smoothed,0.8792019113328777,0.0
B,RF,37,unsmoothed,0.8606851749752101,0.12048192771084337
B,RF,37,smoothed,0.9693394987360096,0.03614457831325301
B,RF,38,unsmoothed,0.8312674808986309,0.011627906976744186
B,RF,38,smoothed,0.9637928522588891,0.0
B,RF,39,unsmoothed,0.7394453557820491,0.125
