subject,model,condition,n_stdup_train,macro_f1,f1_DNS,f1_STDUP,f1_UPS,f1_WAK
26,RF,imbalanced,14259,0.6912200714677679,0.4340425531914894,0.9644902634593356,0.7058823529411765,0.6604651162790698
26,SVM,balanced,3766,0.7108144766390888,0.5779467680608364,0.9630512514898689,0.6666666666666666,0.635593220338983
26,RF,balanced,3766,0.6972171262058648,0.4878048780487805,0.9575471698113207,0.6891385767790262,0.6543778801843319
27,SVM,imbalanced,14276,0.8471334964401774,0.7525773195876289,0.9963369963369964,0.8294930875576036,0.810126582278481
27,RF,imbalanced,14276,0.8252156297667441,0.6896551724137931,0.9878934624697336,0.8282828282828283,0.7950310559006211
27,SVM,balanced,3792,0.8494269752365207,0.751269035532995,0.9963369963369964,0.8450704225352113,0.8050314465408805
27,RF,balanced,3792,0.8271621914476062,0.6829268292682927,0.9889570552147239,0.8415841584158416,0.7951807228915663
28,SVM,imbalanced,14303,0.802751648625109,0.723404255319149,0.9631578947368421,0.8355555555555556,0.6888888888888889
28,RF,imbalanced,14303,0.7774973334048818,0.6445497630331753,0.9537275064267352,0.8016528925619835,0.7100591715976331
28,SVM,balanced,3781,0.8142435465667583,0.7327586206896551,0.9605263157894737,0.8609865470852018,0.7027027027027027
28,RF,balanced,3781,0.7577275476330723,0.6015625,0.9118457300275482,0.8192771084337349,0.6982248520710059
29,SVM,imbalanced,14276,0.8037798587399274,0.6974789915966386,0.9659367396593674,0.848,0.7037037037037037
29,RF,imbalanced,14276,0.7412953896468019,0.6206896551724138,0.9592326139088729,0.7903225806451613,0.5949367088607594
29,SVM,balanced,3778,0.8132472695326105,0.7058823529411765,0.9682151589242054,0.856,0.7228915662650602
29,RF,balanced,3778,0.7574578443430673,0.6530612244897959,0.9617755856966708,0.796812749003984,0.6181818181818182
30,SVM,imbalanced,14287,0.8040059719751332,0.7457627118644068,0.9759188846641318,0.8514851485148515,0.6428571428571429
30,RF,imbalanced,14287,0.8124003072178552,0.768361581920904,0.9712140175219024,0.8383838383838383,0.6716417910447762
30,SVM,balanced,3802,0.7991586028286071,0.7597765363128491,0.9733163913595934,0.8341708542713567,0.6293706293706294
30,RF,balanced,3802,0.81458324930087,0.7979274611398963,0.9731800766283525,0.8350515463917526,0.6521739130434783
