subject,draw,K_per_class,f1_macro
40,0,20,0.791562
40,1,0,0.799793
40,1,5,0.775967
40,1,10,0.822894
40,1,20,0.846649
40,2,0,0.791483
40,2,5,0.841905
40,2,10,0.815886
40,2,20,0.804257
40,3,0,0.80154
40,3,5,0.859275
40,3,10,0.825033
40,3,20,0.818129
40,4,0,0.763322
40,4,5,0.778879
40,4,10,0.803174
40,4,20,0.790683
