subject,model,f1_sd,bal_acc_sd,acc_sd,f1_loso,bal_acc_loso,acc_loso,delta_f1,delta_bal_acc,delta_acc
5,SVM,0.8199073506499214,0.8374602404208665,0.847457627118644,0.6265527779045328,0.6589171927892126,0.6581920903954802,0.1933545727453886,0.17854304763165396,0.18926553672316382
6,SVM,0.768408180035557,0.7820153557427998,0.823327615780446,0.654848474228193,0.6681441011632232,0.7221269296740995,0.11355970580736396,0.11387125457957659,0.10120068610634647
7,SVM,0.911556369631578,0.9184402294543254,0.9316666666666666,0.7045708929457513,0.7162933160926878,0.7333333333333333,0.20698547668582679,0.2021469133616376,0.19833333333333336
8,SVM,0.8557547360794425,0.8600828435130761,0.902439024390244,0.6683085514781051,0.6769245289594127,0.7770034843205574,0.18744618460133744,0.18315831455366338,0.1254355400696866
9,SVM,0.8746398025481548,0.8774221009959462,0.9052453468697124,0.7214513261959759,0.72809259510821,0.7631133671742809,0.15318847635217892,0.1493295058877362,0.14213197969543145
10,SVM,0.8818396284868295,0.8837741206162258,0.925343811394892,0.6303188451788809,0.6626186313686314,0.7465618860510805,0.2515207833079486,0.22115548924759443,0.17878192534381143
11,SVM,0.9059991837464916,0.9162293313648238,0.9305019305019304,0.7618901818665134,0.8066485838462045,0.7876447876447876,0.14410900187997822,0.10958074751861924,0.1428571428571428
12,SVM,0.8796590629611412,0.8738136863136863,0.9171597633136096,0.7267812218269535,0.7229645354645355,0.8165680473372781,0.15287784113418768,0.15084915084915074,0.10059171597633154
13,SVM,0.911501905224922,0.9177574344894952,0.9454787234042552,0.8347520415106737,0.8417967163064071,0.898936170212766,0.0767498637142483,0.07596071818308814,0.046542553191489255
14,SVM,0.8672505534109975,0.8734609553825374,0.9148387096774192,0.7174024767611928,0.7515400260462571,0.8270967741935484,0.1498480766498047,0.12192092933628029,0.08774193548387077
15,SVM,0.829228912859602,0.8407209050104161,0.90327868852459,0.7338132651218405,0.7622915242131194,0.839344262295082,0.09541564773776146,0.07842938079729667,0.06393442622950807
16,SVM,0.8870779843802893,0.8927385114885115,0.9295154185022028,0.7625690490412669,0.7796959984459985,0.8458149779735683,0.12450893533902241,0.113042513042513,0.08370044052863446
17,SVM,0.8360006161486407,0.8389161651356772,0.8975817923186344,0.7507655025440478,0.7535388730510681,0.8477951635846372,0.0852351136045929,0.08537729208460909,0.049786628733997196
18,SVM,0.8497635561253757,0.8535300455358595,0.90625,0.7057180268748326,0.7237019521176498,0.8234375,0.14404552925054304,0.12982809341820978,0.08281249999999996
19,SVM,0.8528802288435862,0.8567073053677352,0.9064245810055864,0.7146522180222579,0.7474425267867848,0.7849162011173184,0.1382280108213283,0.1092647785809504,0.12150837988826801
