buffer,k,variant,subject,f1,crit_err,n_scored
50,1,vote,2,0.8662814545546327,0.0,470
50,1,vote,3,0.8954152401689123,0.030303030303030304,544
50,1,vote,4,0.8433945199634689,0.0,506
50,1,vote,5,0.748797893390485,0.0425531914893617,658
50,1,vote,6,0.7472577330737615,0.04938271604938271,533
50,1,vote,7,0.7753356746097217,0.021739130434782608,550
50,1,vote,8,0.8522096559774743,0.0547945205479452,524
50,1,vote,9,0.8137498158835581,0.061946902654867256,541
50,1,vote,10,0.7376567692042093,0.0,459
50,1,vote,11,0.9345491781956043,0.0,468
50,1,vote,12,0.890050300392061,0.03076923076923077,457
50,1,vote,13,0.8773447019086703,0.02040816326530612,702
50,1,vote,14,0.8187760712735154,0.05,725
50,1,vote,15,0.8971281618693862,0.0,560
50,1,vote,16,0.8621610108067436,0.02564102564102564,631
50,1,vote,17,0.8455472664564485,0.021505376344086023,653
50,1,vote,18,0.8476816775108096,0.1232876712328767,590
50,1,vote,19,0.8167916764251844,0.0851063829787234,666
50,1,vote,20,0.7834118048577775,0.0,549
50,1,vote,21,0.8471403050635651,0.012048192771084338,557
50,1,vote,22,0.7520731548801869,0.026785714285714284,672
50,1,vote,23,0.8431736330241325,0.015151515151515152,654
50,1,vote,24,0.7845041590304664,0.0,603
50,1,vote,25,0.8697437176027343,0.0136986301369863,566
50,1,vote,26,0.7964404911349285,0.08661417322834646,739
50,1,vote,27,0.8881511564601218,0.0,644
50,1,vote,28,0.779661108981438,0.02,650
50,1,vote,29,0.7951201906438027,0.053763440860215055,686
50,1,vote,30,0.8558267149531007,0.06329113924050633,604
50,1,vote,31,0.7025715257836483,0.0375,708
50,1,vote,32,0.8112863444308057,0.03,636
50,1,vote,33,0.8012591760768861,0.0,642
50,1,vote,34,0.8857170978407706,0.0,582
50,1,vote,35,0.7509639812991387,0.1452513966480447,802
50,1,vote,36,0.6823990960020372,0.07407407407407407,684
50,1,vote,37,0.7126487471095294,0.014285714285714285,630
50,1,vote,38,0.8582467535755287,0.0273972602739726,621
50,1,vote,39,0.762319524665715,0.04,643
50,1,vote,40,0.7536745716992168,0.029850746268656716,598
50,1,probavg,1,0.6660219976821689,0.04672897196261682,640
50,1,probavg,2,0.8662814545546327,0.0,470
50,1,probavg,3,0.8954152401689123,0.030303030303030304,544
50,1,probavg,4,0.8433945199634689,0.0,506
50,1,probavg,5,0.748797893390485,0.0425531914893617,658
50,1,probavg,6,0.7472577330737615,0.04938271604938271,533
50,1,probavg,7,0.7753356746097217,0.021739130434782608,550
50,1,probavg,8,0.8522096559774743,0.0547945205479452,524
50,1,probavg,9,0.8137498158835581,0.061946902654867256,541
50,1,probavg,10,0.7376567692042093,0.0,459
50,1,probavg,11,0.9345491781956043,0.0,468
50,1,probavg,12,0.890050300392061,0.03076923076923077,457
50,1,probavg,13,0.8773447019086703,0.02040816326530612,702
50,1,probavg,14,0.8187760712735154,0.05,725
50,1,probavg,15,0.8971281618693862,0.0,560
50,1,probavg,16,0.8621610108067436,0.02564102564102564,631
50,1,probavg,17,0.8455472664564485,0.021505376344086023,653
50,1,probavg,18,0.8476816775108096,0.1232876712328767,590
50,1,probavg,19,0.8167916764251844,0.0851063829787234,666
50,1,probavg,20,0.7834118048577775,0.0,549
50,1,probavg,21,0.8471403050635651,0.012048192771084338,557
50,1,probavg,22,0.7520731548801869,0.026785714285714284,672
50,1,probavg,23,0.8431736330241325,0.015151515151515152,654
50,1,probavg,24,0.7845041590304664,0.0,603
50,1,probavg,25,0.8697437176027343,0.0136986301369863,566
50,1,probavg,26,0.7964404911349285,0.08661417322834646,739
50,1,probavg,27,0.8881511564601218,0.0,644
50,1,probavg,28,0.779661108981438,0.02,650
50,1,probavg,29,0.7951201906438027,0.053763440860215055,686
50,1,probavg,30,0.8558267149531007,0.06329113924050633,604
50,1,probavg,31,0.7025715257836483,0.0375,708
50,1,probavg,32,0.8112863444308057,0.03,636
50,1,probavg,33,0.8012591760768861,0.0,642
50,1,probavg,34,0.8857170978407706,0.0,582
50,1,probavg,35,0.7509639812991387,0.1452513966480447,802
50,1,probavg,36,0.6823990960020372,0.07407407407407407,684
50,1,probavg,37,0.7126487471095294,0.014285714285714285,630
50,1,probavg,38,0.8582467535755287,0.0273972602739726,621
50,1,probavg,39,0.762319524665715,0.04,643
50,1,probavg,40,0.7536745716992168,0.029850746268656716,598
50,3,vote,1,0.7007937704934939,0.028037383177570093,640
50,3,vote,2,0.9100260575244591,0.0,470
50,3,vote,3,0.9483818118698932,0.0,544
50,3,vote,4,0.8991963611113413,0.0,506
50,3,vote,5,0.794854495699196,0.03546099290780142,658
50,3,vote,6,0.7801601695865534,0.037037037037037035,533
50,3,vote,7,0.8411044170431204,0.010869565217391304,550
50,3,vote,8,0.8916030576500245,0.0547945205479452,524
50,3,vote,9,0.8532713452606517,0.017699115044247787,541
50,3,vote,10,0.768309958987749,0.0,459
50,3,vote,11,0.971722117108095,0.0,468
50,3,vote,12,0.9282359283720675,0.015384615384615385,457
50,3,vote,13,0.9316159924179825,0.0,702
50,3,vote,14,0.864856346367841,0.03333333333333333,725
50,3,vote,15,0.9424512680779711,0.0,560
50,3,vote,16,0.8992705753004018,0.01282051282051282,631
50,3,vote,17,0.906386395368086,0.010752688172043012,653
50,3,vote,18,0.8895557485921646,0.0821917808219178,590
50,3,vote,19,0.8876164617828095,0.02127659574468085,666
50,3,vote,20,0.8298929432147909,0.0,549
50,3,vote,21,0.8916632004216889,0.0,557
50,3,vote,22,0.8105020179508013,0.017857142857142856,672
50,3,vote,23,0.8977531769457072,0.0,654
50,3,vote,24,0.8327413726676793,0.0,603
50,3,vote,25,0.9215072732618116,0.0,566
50,3,vote,26,0.8217947278923449,0.07874015748031496,739
50,3,vote,27,0.9326519510742216,0.0,644
50,3,vote,28,0.8182403568627258,0.02,650
50,3,vote,29,0.8352404986229492,0.021505376344086023,686
50,3,vote,30,0.9100138190705852,0.05063291139240506,604
50,3,vote,31,0.7519156310349369,0.0125,708
50,3,vote,32,0.8725377949411803,0.0,636
50,3,vote,33,0.8634668563737804,0.0,642
50,3,vote,34,0.9122116185118775,0.0,582
