backbone,arm,subject,channel,threshold,censored
resnet,chandrop,28,6,0.7699358773433124,False
resnet,chandrop,28,7,,True
resnet,chandrop,28,8,,True
resnet,chandrop,29,0,,True
resnet,chandrop,29,1,,True
resnet,chandrop,29,2,0.7720704097745068,False
resnet,chandrop,29,3,0.40216135978271184,False
resnet,chandrop,29,4,0.8481259722405206,False
resnet,chandrop,29,5,0.0966578046178482,False
resnet,chandrop,29,6,,True
resnet,chandrop,29,7,,True
resnet,chandrop,29,8,0.4846957537374326,False
resnet,chandrop,30,0,,True
resnet,chandrop,30,1,0.8259738411406546,False
resnet,chandrop,30,2,,True
resnet,chandrop,30,3,0.3275537507468312,False
resnet,chandrop,30,4,0.6900416723609197,False
resnet,chandrop,30,5,0.5812501595889286,False
resnet,chandrop,30,6,,True
resnet,chandrop,30,7,0.4014122059091625,False
resnet,chandrop,30,8,,True
resnet,chandrop,31,0,,True
resnet,chandrop,31,1,0.8150064808840863,False
resnet,chandrop,31,2,0.3664244976920514,False
resnet,chandrop,31,3,,True
resnet,chandrop,31,4,,True
resnet,chandrop,31,5,,True
resnet,chandrop,31,6,,True
resnet,chandrop,31,7,0.4748611329789819,False
resnet,chandrop,31,8,0.7770173948412589,False
resnet,chandrop,32,0,0.8225711668561423,False
resnet,chandrop,32,1,0.6119412301718228,False
resnet,chandrop,32,2,0.8037298484420766,False
resnet,chandrop,32,3,0.8145511703835917,False
