subject,model,mode,f1_incl,f1_excl,buf_n
2,SVM_PROBA,single_DNS,0.499876,0.410811,77
2,RESNET_SE,single_DNS,0.649602,0.517396,77
2,soft,single_DNS,0.67291,0.533271,77
3,SVM,single_DNS,0.752998,0.780767,100
3,SVM_PROBA,single_DNS,0.720969,0.767731,100
3,RESNET_SE,single_DNS,0.828785,0.733997,100
3,soft,single_DNS,0.81686,0.797883,100
4,SVM,single_DNS,0.563596,0.44601,79
4,SVM_PROBA,single_DNS,0.611144,0.49164,79
4,RESNET_SE,single_DNS,0.736773,0.581944,79
4,soft,single_DNS,0.734022,0.567129,79
5,SVM,single_DNS,0.599324,0.616499,100
5,SVM_PROBA,single_DNS,0.581879,0.592587,100
5,RESNET_SE,single_DNS,0.602871,0.585584,100
5,soft,single_DNS,0.634562,0.630149,100
6,SVM,single_DNS,0.597357,0.517222,94
6,SVM_PROBA,single_DNS,0.562542,0.477012,94
6,RESNET_SE,single_DNS,0.616785,0.506969,94
6,soft,single_DNS,0.63983,0.525502,94
7,SVM,single_DNS,0.583784,0.520094,100
7,SVM_PROBA,single_DNS,0.613547,0.570004,100
7,RESNET_SE,single_DNS,0.403019,0.345092,100
7,soft,single_DNS,0.601581,0.518192,100
8,SVM,single_DNS,0.494405,0.361992,86
8,SVM_PROBA,single_DNS,0.474712,0.368884,86
8,RESNET_SE,single_DNS,0.613319,0.468328,86
8,soft,single_DNS,0.600443,0.441265,86
9,SVM,single_DNS,0.679693,0.717123,100
9,SVM_PROBA,single_DNS,0.665451,0.734472,100
9,RESNET_SE,single_DNS,0.728715,0.68849,100
9,soft,single_DNS,0.795515,0.833095,100
10,SVM,single_DNS,0.495502,0.339806,76
10,SVM_PROBA,single_DNS,0.569946,0.436093,76
10,RESNET_SE,single_DNS,0.67222,0.520326,76
10,soft,single_DNS,0.677936,0.51391,76
11,SVM,single_DNS,0.714416,0.619816,77
11,SVM_PROBA,single_DNS,0.700347,0.823187,77
11,RESNET_SE,single_DNS,0.814261,0.627249,77
11,soft,single_DNS,0.835564,0.65173,77
12,SVM,single_DNS,0.735728,0.6623,77
12,SVM_PROBA,single_DNS,0.707038,0.650855,77
12,RESNET_SE,single_DNS,0.812677,0.680389,77
12,soft,single_DNS,0.844718,0.696765,77
13,SVM,single_DNS,0.716396,0.651421,100
13,SVM_PROBA,single_DNS,0.696478,0.658446,100
13,RESNET_SE,single_DNS,0.753027,0.627454,100
13,soft,single_DNS,0.766406,0.699707,100
14,SVM,single_DNS,0.742462,0.769345,100
14,SVM_PROBA,single_DNS,0.745157,0.777199,100
14,RESNET_SE,single_DNS,0.827664,0.867274,100
14,soft,single_DNS,0.83097,0.878789,100
15,SVM,single_DNS,0.562109,0.473176,83
15,SVM_PROBA,single_DNS,0.597763,0.533781,83
15,RESNET_SE,single_DNS,0.726376,0.560528,83
