subject,model,f1_sd,f1_loso,delta_f1,bal_acc_sd,bal_acc_loso,delta_bal_acc
26,ResNet-SE,0.4435872489166987,0.7384567982484699,-0.2948695493317712,0.4425210084033614,0.7633570099987841,-0.3208360015954227
27,ResNet-SE,0.6628185950323626,0.8646461963450914,-0.2018276013127288,0.6766666666666666,0.8647981930773884,-0.18813152641072173
28,ResNet-SE,0.7882158877774955,0.7828022516945071,0.005413636082988393,0.7941598806848168,0.7894348498542363,0.004725030830580512
29,ResNet-SE,0.572713502393586,0.8125232583330756,-0.2398097559394896,0.5624487566740077,0.8083524424307988,-0.2459036857567911
30,ResNet-SE,0.765351653298662,0.7918026087451024,-0.026450955446440494,0.7462184718734519,0.8009881722287737,-0.054769700355321804
31,ResNet-SE,0.3059579546212869,0.7497507698487266,-0.4437928152274397,0.3342602984176126,0.769350997556534,-0.4350906991389214
32,ResNet-SE,0.6732582946062553,0.7797024834691293,-0.10644418886287399,0.6741790817877774,0.7943394227666537,-0.12016034097887629
33,ResNet-SE,0.6649556066413808,0.858247308320623,-0.19329170167924226,0.6584134248665141,0.8775,-0.21908657513348584
34,ResNet-SE,0.6326974133694608,0.8946075299282713,-0.26191011655881047,0.6482258852258853,0.9078283505709976,-0.25960246534511233
35,ResNet-SE,0.2856088234087363,0.6873425120894514,-0.40173368868071513,0.3325558314442162,0.7077976247047362,-0.37524179326052
36,ResNet-SE,0.5009081228792186,0.7146523704564341,-0.21374424757721555,0.5069412035836718,0.7250513500215444,-0.21811014643787263
37,ResNet-SE,0.4326478411174859,0.8490410279378486,-0.41639318682036275,0.4202516401297361,0.841291334285735,-0.4210396941559989
38,ResNet-SE,0.8096445178449864,0.8041772619923973,0.005467255852589115,0.7934007255214686,0.8341845065839173,-0.04078378106244873
39,ResNet-SE,0.4749987216488153,0.7890244638786371,-0.3140257422298218,0.4992106044969822,0.8006114718614719,-0.3014008673644897
40,ResNet-SE,0.3225140359268157,0.7424145055582437,-0.419900469631428,0.3860119047619047,0.7587100428604205,-0.3726981380985158
